Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Phase,Priority,Acceptance_Criteria,Notes,Meeting_Traceability
Acumatica Integration & Data Migration,Master Sync,Synchronize account and contact data,"Bootstrap customers and contacts from Acumatica, then run governed ongoing sync","Complete the initial bootstrap load for pilot accounts and contacts, then switch to governed sync and conflict handling.",Customer Sync,Integration blueprint and customer model,13,Sprint 08,Phase 2 - Lead-to-Customer Core CRM,P0,Initial customer/contact bootstrap completes and ongoing sync follows approved ownership rules.,MIG-005 | Release 2 bootstrap wave | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Acumatica Integration & Data Migration,Product & Pricing Sync,Keep sellable data current,"Sync products, variants, price classes, and customer pricing inputs from ERP",Feed dealer and reporting experiences,Product Sync,Integration blueprint and pricing governance,13,Sprint 08,Phase 2 - Lead-to-Customer Core CRM,P0,Catalog and pricing data refresh reliably,Legacy Sprint Bucket: Seq 04,
Territory Management & Field Routing,Access Views,Tailor territory insight by role,"Show TM, RD, VP, and executive scopes with inherited rollups",Limit views to the right level of control,Role Views,Role-based permissions and org hierarchy,8,Sprint 08,Phase 2 - Lead-to-Customer Core CRM,P0,Each role sees the right geography and rollup,Legacy Sprint Bucket: Seq 04,
Territory Management & Field Routing,Routing Integration,Use territory logic in lead assignment,Feed state-based territory ownership into lead routing and customer ownership workflows,Keep lead and account assignment aligned,Routing Services,Lead routing and territory model,5,Sprint 08,Phase 2 - Lead-to-Customer Core CRM,P0,Geography changes automatically influence assignment outcomes,Legacy Sprint Bucket: Seq 04,
Territory Management & Field Routing,Territory Model,Define and maintain territory ownership,Auto-assign regional director by territory,When TM is assigned to an account: auto-assign Regional Director based on territory mapping; RD gets consignment audit oversight view and approval rights,RD Assignment,Territory model and TM assignment,5,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Every account with a TM also has a resolved Regional Director visible on account and consignment audit records,Session 5 (Feb 25): Don Hearn confirmed RD assigns to consignment audit oversight. | Legacy Sprint Bucket: Seq 04,Session 5 (Feb 25)
"Communication, Notifications & Alerts",Alert Engine,Create one notification framework,Add credit hold alert delivery to dealer portal users,When Acumatica credit hold is applied to an account: notify dealer portal admin user in addition to internal CSR; show credit hold banner in portal; block new order submission,Dealer Credit Alert,Credit hold sync (INT-006) and dealer identity,5,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Dealer portal admin sees credit hold banner within 30 minutes of ERP status change; order submission blocked,RAID-008: Dealer access model must include financial constraint visibility for company-wide access. | Legacy Sprint Bucket: Seq 04,
"Communication, Notifications & Alerts",Lead Alerts,Notify teams about inbound opportunity,"Trigger new lead arrival, assignment, and SLA breach notifications",Support near-real-time response expectations,Notification Engine,Lead routing and SLA engine,5,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Lead owners and managers receive the right alerts,Legacy Sprint Bucket: Seq 04,
Lead Capture & Lead Management,Lead Operations,Enforce SLA and routing discipline,Build 48-hour SLA enforcement,Auto-timer on lead creation; 24h warning alert to owner; 48h breach alert to manager; SLA field on lead record,Lead SLA,Lead routing and assignment,8,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,SLA timer fires on every new lead; breach alert delivered to manager within 1 hour of expiry,Session 8: Michelle confirmed 48-hour initial contact SLA requirement; currently untracked. | Legacy Sprint Bucket: Seq 04,Session 8
Lead Capture & Lead Management,Lead Operations,Enforce SLA and routing discipline,Build affinity roster bulk import,Monthly/quarterly CSV import workflow; 300-1000 records per wave; dedup against existing leads; enrich with affinity group; version-track import date and source,Lead Import,Canonical data model and reference data,13,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Roster import processes 1000 records in under 5 minutes with dedup report and steward review step,Session 4 (Feb 24): Monthly affinity/PE group roster imports explicitly validated. | Legacy Sprint Bucket: Seq 04,Session 4 (Feb 24)
Lead Capture & Lead Management,Lead Response,Enforce response accountability,Add 48-hour SLA timers and escalation states,Highlight untouched leads and route breaches to managers,SLA Engine,Lead pipeline and alert engine,8,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Users can see which leads require immediate action,Legacy Sprint Bucket: Seq 04,
Lead Capture & Lead Management,Lead Routing,Assign leads accurately and quickly,Implement state-based routing,Map residential leads to the correct TM geography,Routing Engine,Territory model,8,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,State-based assignment is automatic and transparent,Legacy Sprint Bucket: Seq 04,
"CIS, Credit & Onboarding Workflow",Credit Workflow,Route credit requests to the right approver,Send Net30 and ACH requests to credit review and verify card-based requests separately,Follow researched approval paths,Credit Routing,Secure credit capture,8,Sprint 09,Phase 2 - Lead-to-Customer Core CRM,P0,Credit applications follow the researched approval path,Legacy Sprint Bucket: Seq 04,
"CIS, Credit & Onboarding Workflow",Onboarding Controls,Standardize post-CIS activation,Build finance approval queue and post-CIS credit routing workflow,"Provide finance queue with approve, conditional approve, decline, and request-info states; SLA timers; credit-line and terms capture; resubmission path; notify BD owner of outcome",Credit Workflow,CIS e-sign and notification engine,8,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,"Finance can approve, conditionally approve, decline, or request info with owner, timestamp, reason, and credit-line/terms outcome captured in CRM; BD is notified within 24 hours",Closes the largest CIS/onboarding gap by making finance review a first-class queue instead of a generic routing step. | Legacy Sprint Bucket: Seq 04,Session 2; Session 4
"CIS, Credit & Onboarding Workflow",Onboarding Data Flow,Reuse submitted onboarding data,"Auto-populate customer, contact, and billing fields from CIS",Reduce re-entry during account creation,Data Mapping,CIS form and customer model,8,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Approved CIS data seeds downstream records,Legacy Sprint Bucket: Seq 04,
"CIS, Credit & Onboarding Workflow",Onboarding Control,Standardize post-CIS activation,Build onboarding checklist and readiness gates,"Orchestrate finance approval, portal eligibility, pricing assignment, required onboarding sessions, customer activation readiness, and first-order gate with explicit blockers and owners",Onboarding Checklist,Credit routing and customer model,8,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Accounts cannot reach portal-ready or first-order-ready status until required gates are completed or formally waived with audit trail,Moved earlier because onboarding gating precedes portal provisioning and first-order activation. | Legacy Sprint Bucket: Seq 04,Session 2; Session 4; Session 9
"CIS, Credit & Onboarding Workflow",Document Handling,File and retain onboarding artifacts,Migrate active CIS packages into governed document folders and customer context,"Load active and recent CIS/onboarding files first, link them to the correct account, and retrieve older documents on demand.",Document Repository,Digital CIS and asset repository,5,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P1,"Active CIS packages are searchable, linked to the right account, and retained in governed folders.",MIG-019 | Release 2 document migration | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
"Customer, Account, Contact & Multi-Location Management",Activity Management,Preserve field and service interactions,"Track visits, calls, trainings, and notes against customer context",Summarize touches by account and location,Activity Timeline,Customer workspace and mobile activities,8,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Teams can see a full customer interaction history,Legacy Sprint Bucket: Seq 04,
"Customer, Account, Contact & Multi-Location Management",Contact Management,Represent customer relationships correctly,Implement contact hierarchy and role ordering,"Distinguish management, buyer, trainer, technician, and influencer contacts",Contact Model,Customer workspace,8,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Contacts display in meaningful business order,Legacy Sprint Bucket: Seq 04,
"Customer, Account, Contact & Multi-Location Management",Customer Activation,Control the ERP activation gate,Propagate Acumatica Customer ID and display sync status,After first-order ERP sync: receive Acumatica Customer ID; store on CRM account; display sync status badge (Pending / Synced / Sync Error); surface error detail,ERP Sync,First-order trigger and Acumatica integration,5,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Acumatica Customer ID visible on account within 5 minutes of successful first-order sync; errors surfaced with actionable message,INT-001: Customer sync must be traceable in both directions. | Legacy Sprint Bucket: Seq 04,
"Customer, Account, Contact & Multi-Location Management",Customer Activation,Control the ERP activation gate,Build BD to TM ownership handoff notification,"On first order event: auto-notify new TM owner, BD team lead, and regional director; log ownership transfer with timestamp and reason; preserve full activity history",Ownership Transfer,First-order trigger and territory model,5,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Handoff notification delivered to TM and BD lead within 5 minutes of first order; full history preserved,Session 4 (Feb 24): Ownership transfer from BD to TM at first order explicitly confirmed by Don Hearn and CG. | Legacy Sprint Bucket: Seq 04,Session 4 (Feb 24)
"Customer, Account, Contact & Multi-Location Management",Customer Activation,Control the ERP activation gate,Integrate tokenized payment method capture for customer setup,Use hosted fields or tokenized provider flow during CIS/customer setup; support US and Canada processor routing without storing raw card data.,Payment Tokenization,Security review and PCI design,5,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Customer setup can create a payment token through the selected gateway path without raw card storage,Session 1 (Feb 16): Dan H explicitly requested credit card tokenization at customer setup. | Legacy Sprint Bucket: Seq 04,Session 1 (Feb 16)
"Customer, Account, Contact & Multi-Location Management",Customer Activation,Control the ERP activation gate,"Persist gateway token callbacks, masked methods, and settlement references","Store masked payment method data, token callbacks, gateway reference IDs, and Acumatica settlement handoff fields for governed payment support.",Payment Gateway Handoff,Security review and PCI design,3,Sprint 10,Phase 2 - Lead-to-Customer Core CRM,P0,Masked payment method and gateway reference are linked to the customer without exposing raw card data,Separates secure token capture from downstream gateway callback and settlement-reference handling. | Legacy Sprint Bucket: Seq 04,Session 1 (Feb 16); Session 9 (Mar 13)
"Customer, Account, Contact & Multi-Location Management",Multi-Location Management,Support enterprise accounts,Build parent-child location hierarchy and shared account rollups,Model customers with many operating locations,Location Model,Customer workspace,8,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Multi-location customers can be managed under one enterprise umbrella,Legacy Sprint Bucket: Seq 04,
"Customer, Account, Contact & Multi-Location Management",Customer Workspace,Make the account model operable at scale,"Build customer list, search, and lifecycle state management","Provide searchable account list, saved filters, active/hold/at-risk/inactive states, and ownership/context columns for ops, BD, and field teams",Customer Workspace,Build an Acumatica-aligned customer workspace and lifecycle context,5,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,"Customers can be found, filtered, and managed by lifecycle state without custom exports",Closes the missing search/list/lifecycle gap from WBS validation. | Legacy Sprint Bucket: Seq 04,Session 4; Session 12 (Mar 24)
Dealer Portal Replacement for Shopify,Dealer Catalog,Deliver a B2B product browsing experience,Bootstrap the full catalog with real SKU and variant structure,Load the ERP-owned product master and curated Shopify enrichment attributes into the pilot dealer catalog.,Product Catalog,Product sync,13,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Dealers can browse the bootstrapped sellable catalog with correct metadata and variant structure.,MIG-010 | Release 2 product bootstrap | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Dealer Portal Replacement for Shopify,Dealer Catalog,Deliver a B2B product browsing experience,"Provide search, filters, favorites, compare, and quick order",Speed up repeat purchasing and research,Catalog UX,Product catalog,8,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Dealers can find and re-order products efficiently,Legacy Sprint Bucket: Seq 04,
Dealer Portal Replacement for Shopify,Dealer Identity,Replace Shopify account model,Build multi-user company access model,"Role tiers: Admin, Purchasing, Accounting, Viewer; company admin grants access to colleagues; access delegation workflow; role determines what is visible and orderable",Portal Access,Dealer identity and security model,13,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Dealer company admin can grant and revoke colleague access; each role sees correct subset of portal,Session 7 (Mar 2): Dan H confirmed multi-user company visibility is the primary Shopify limitation. | Legacy Sprint Bucket: Seq 04,Session 7 (Mar 2)
Dealer Portal Replacement for Shopify,Dealer Ordering,Support complete ordering workflows,"Build cart, quick re-order, PO capture, and checkout controls",Enforce PO entry and preserve order notes,Checkout,Dealer identity and pricing,8,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Orders can be submitted with required PO information,Legacy Sprint Bucket: Seq 04,
Dealer Portal Replacement for Shopify,Dealer Ordering,Support complete ordering workflows,Handle Canada vs US portal pricing and catalog,Separate price lists (2-3 CA vs 6-8 US); detect account region and apply correct currency and price class at login; unified portal experience with region flag or separate branded entry,Canada/US Handling,Pricing sync and catalog,8,Sprint 11,Phase 3 - Dealer Commerce & Activation,P0,Canadian dealer accounts see correct CAD price list; US accounts see USD; no manual override needed,Session 7: Shopify Canada and US are separate; Acumatica Stock Items CSV includes USD and CAD prices. | Legacy Sprint Bucket: Seq 04,Session 7
Dealer Portal Replacement for Shopify,Dealer Ordering,Persist dealer carts across sessions,Build server-side cart persistence,"Store cart state server-side per dealer user; survive login/logout, browser close, and session expiry; handle shared-cart conflict for multi-user company accounts",Checkout,Dealer identity and catalog,5,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Cart contents persist across browser close and re-login; multi-user company cart shows latest state with conflict warning,Addresses PRD Supplement Part A cart persistence strategy. | Legacy Sprint Bucket: Seq 04,
Dealer Portal Replacement for Shopify,Dealer Ordering,Validate orders before checkout submission,Build 6-check checkout validation engine,"Validate: item availability, price changes since cart add, credit hold status, address completeness, credit limit, minimum order value; block or warn per scenario",Checkout,Dealer pricing and credit hold sync,8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,All 6 checks execute on Proceed to Checkout; blocked scenarios prevent submission; warning scenarios allow override with acknowledgment,Addresses PRD Supplement Part A validation checklist. | Legacy Sprint Bucket: Seq 04,
Dealer Portal Replacement for Shopify,Dealer Pricing,Apply customer-specific commercial rules,"Resolve bootstrapped price class, customer class, and discount tier at login and checkout",Use ERP-sourced price classes and curated imported price-sheet context at login and checkout.,Dealer Pricing,Pricing config and customer identity,8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Dealers see the correct bootstrapped account pricing without manual overrides.,MIG-011 | Release 2 pricing bootstrap | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Dealer Portal Replacement for Shopify,Dealer Visibility,Give companies shared operational visibility,Enable invoice PDF download,Dealer can download PDF of each invoice directly from order/invoice history screen; linked to Acumatica invoice document; no email-only dependency,Invoice Download,ERP financial visibility sync (INT-005),5,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Invoice PDF available for download within 15 minutes of Acumatica invoice creation; all invoices for last 24 months accessible,Session 7: Dan H confirmed invoices are currently email-only; dealers need portal access. | Legacy Sprint Bucket: Seq 04,Session 7
Dealer Portal Replacement for Shopify,Dealer Identity,Provision dealer company access from onboarding,"Bootstrap dealer company admin, users, and enrollment workflow from approved onboarding and Shopify exports","Migrate in-scope dealer admins, users, and preferences into the customer-account model and issue governed first-login enrollment.",Portal Provisioning,"Onboarding approval, dealer identity, customer model, and pricing context",8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Pilot dealer accounts receive migrated admins/users and governed enrollment without manual IT setup.,MIG-012 | Release 2 dealer-account migration | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Dealer Portal Replacement for Shopify,Commerce Readiness Gates,Prove catalog and pricing foundations before dealer rollout,"Certify product sync, pricing sync, dealer-group resolution, and publish validation before portal catalog and checkout rollout","Require evidence that sync integrity, dealer-group targeting, price resolution, and publish validation pass for representative accounts before catalog, cart, and checkout are exposed to pilot users",Portal Readiness Gate,"Sync products, variants, price classes, and customer pricing inputs from ERP and Build 12-point publish validation rule engine",5,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,"Representative pilot accounts show correct catalog, pricing, dealer-group visibility, and publish-state evidence before portal commerce rollout is approved",Adds an explicit commerce-readiness gate before limited-availability exposure. | Legacy Sprint Bucket: Seq 04,Post-discovery roadmap validation (2026-03-30)
Product Management & Dealer Catalog Governance,Dealer Group Model,Define account-driven catalog groups,Resolve dealer groups from migrated account setup,"Use migrated affinity group, ownership / PE overlay, region, portal eligibility, and private-label rules from active account setups.",Dealer Group Resolver,Reference data loaded and customer account model,8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Each active dealer account resolves to one governed catalog view without mixing dealer group and price class logic,MIG-020 | Release 2 dealer-group bootstrap | Legacy Sprint Bucket: Seq 04,Session 11 (Mar 19); Post-discovery migration alignment (2026-03-31)
Product Management & Dealer Catalog Governance,Group-First Workflow,Make Product Management back-office and group-first,Build dealer-group-first workflow,"Choose dealer group, then review products, files, and go-live check",Product Management Workspace,Dealer group resolver and product sync,8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,Business users can manage dealer catalog views without editing pricing rules or raw ERP items,Reorganizes the module around the March 19 and March 24 feedback. | Legacy Sprint Bucket: Seq 04,Session 11 (Mar 19); Session 12 (Mar 24)
Product Management & Dealer Catalog Governance,Product Sync,Handle Acumatica sync conflicts safely,Implement sync conflict resolution algorithm,"Acumatica wins for base fields (SKU, status, weight); Pulse overlay fields never overwritten; auto-unpublish products deactivated in ERP; log all conflict resolutions",Product Sync,Integration blueprint and product master sync,8,Sprint 12,Phase 3 - Dealer Commerce & Activation,P0,ERP-deactivated products auto-unpublish within 1 sync cycle; Pulse presentation data survives ERP sync; conflict log is auditable,Addresses PRD Supplement Part B sync conflict resolution. | Legacy Sprint Bucket: Seq 04,
Pricing & ERP-Dependent Commercial Rules,Pricing Governance,Govern commercial pricing inputs,Handle Canada price list separation in CRM and portal,Maintain 2-3 Canadian price lists separately from 6-8 US lists; CAD pricing sourced from Acumatica CA price classes; portal applies correct list at login by account region,Canada Pricing,Acumatica pricing sync (INT-003) and Canada portal handling,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Canadian accounts see correct CAD price list; pricing isolated from USD lists; no cross-currency leakage,Session 7: Shopify Canada has separate pricing; must be preserved in new portal architecture. | Legacy Sprint Bucket: Seq 04,Session 7
Training Management,Completion Tracking,Prove what was delivered,"Backfill structured training history, completion evidence, and follow-up tasks from legacy sources","Create governed training records from Map My Customer notes, Outlook history, and certification extracts while archiving low-confidence gaps.",Training Records,Training calendar,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Historical training records are searchable and trustworthy enough for reporting and customer review.,MIG-016 | Release 3 training history migration | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Training Management,Training Record Operations,Track activity and proof at the customer level,Capture training type on every training record,"Required dropdown on all training records: WebEx/Virtual, In-Person, Phone, Blended; type drives hours weighting and proof eligibility",Training Records,Training module,3,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Every training record has a type field; hours reporting segments by type,Session 8: Adrienne confirmed virtual vs in-person distinction critical for training proof. | Legacy Sprint Bucket: Seq 04,Session 8
Training Management,Training Record Operations,Track activity and proof at the customer level,Enforce site visit versus training distinction,Activity type required: Site Visit (sales/support) or Training; both count toward customer touch frequency; separate reporting families,Activity Model,Activity categorization taxonomy,5,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Site visits and training events are distinct activity types with separate report families,Session 8: Michelle and Adrienne explicitly confirmed site visit vs training must be separate report types. | Legacy Sprint Bucket: Seq 04,Session 8
Training Management,Training Scheduling,Manage training commitments from CRM,"Schedule training against customers, users, and calendars",Support customer-centric and TM-centric planning views,Training Calendar,Customer model and calendar foundation,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Users can schedule and view training in multiple planning modes,Legacy Sprint Bucket: Seq 04,
Consignment Management,Audit Cycle,Enforce the 90-day operating rhythm,Build TM consignment dashboard (web),"Per-TM view: all assigned consignment sites, last audit date, next audit due, current balance, outstanding variances, and overdue PO clocks; role-appropriate visibility",TM Dashboard,Site master and audit cycle,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,TM consignment dashboard loads in under 3 seconds; all sites visible with correct audit status,CG: TM must see all consignment sites without navigating 17 different views. | Legacy Sprint Bucket: Seq 04,
Consignment Management,Consignment Enrollment,Launch and manage the program correctly,Flag accounts as consignment customers and capture digital agreements,Track program status from the customer record,Consignment Enrollment,Customer model and document repository,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Users can enroll an account in consignment with signed approval,Legacy Sprint Bucket: Seq 04,
Consignment Management,Consignment Onboarding,Standardize new consignment setup,Build the six-step onboarding wizard from the checklist,"Guide warehouse setup, contacts, initial counts, and readiness",Consignment Wizard,Enrollment baseline,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,New consignment sites follow one consistent setup flow,Legacy Sprint Bucket: Seq 04,
Consignment Management,Initial Verification,Establish starting inventory truth,Digitize the initial inventory verification form,"Capture starting counts, responsible parties, and approvals",Inventory Verification,Consignment wizard,8,Sprint 13,Phase 3 - Dealer Commerce & Activation,P0,Each site has an approved initial inventory baseline,Legacy Sprint Bucket: Seq 04,
Consignment Management,Location Master,Bring real consignment locations into CRM,"Load active, new, and exited consignment sites with warehouse identifiers and in-scope documents","Bootstrap site master, C-type-city warehouse IDs, and linked agreement, verification, reconciliation, adjustment, and exit documents for active program sites.",Consignment Master,Data migration and customer locations,8,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,"Consignment sites and in-scope operational documents load with governed identifiers, lifecycle state, and customer linkage.",MIG-014 / MIG-015 | Release 3 consignment migration | Legacy Sprint Bucket: Seq 04,Post-discovery migration alignment (2026-03-31)
Consignment Management,Site Setup,Onboard new consignment locations correctly,Enforce warehouse naming convention on site creation,Validate C-{TYPE}-{CITY} naming on every new consignment warehouse; reject duplicates; sync name validation against Acumatica warehouse list before creation,Site Admin,Acumatica consignment sync,5,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,Warehouse naming validation fires on save; malformed or duplicate names are rejected with clear error,Consignment program docs: C-{TYPE}-{CITY} convention must be enforced. RAID-004 notes naming inconsistencies. | Legacy Sprint Bucket: Seq 04,
Consignment Management,Site Setup,Enforce consistent warehouse naming,Validate warehouse naming convention on site creation,Validate C-{TYPE}-{CITY} naming pattern on every new consignment warehouse; reject duplicates; sync validation against Acumatica warehouse list,Site Admin,Acumatica consignment sync,3,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,Malformed or duplicate warehouse names are rejected with clear error message on save,Addresses Mobile PRD warehouse naming requirement. Duplicate of row 208 confirmed — kept for completeness. | Legacy Sprint Bucket: Seq 04,
Consignment Management,Audit Cycle,Enforce the 90-day operating rhythm,"Schedule audits, track due dates, and surface 60-day and 90-day status",Give users a real operational dashboard,Audit Scheduler,Consignment master and alert engine,13,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,Every site shows current audit status and next due date,Moved earlier to give mobile audit and variance workflows a real scheduling backbone. | Legacy Sprint Bucket: Seq 04,
Consignment Management,Reconciliation Workflow,Replace Excel and Dropbox reconciliation,Build expected-versus-counted reconciliation with variance handling,"Support counted, missing, overage, partial-PO, write-off, credit-memo, and variance-investigation states",Reconciliation,Audit scheduler and inventory baseline,13,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,"Users can complete and submit a full reconciliation digitally and route each variance to PO, credit memo, write-off, or investigation with audit trail",Moved ahead of PO-clock logic so variance states exist before follow-up timers start. | Legacy Sprint Bucket: Seq 04,Session 5; Session 10
Consignment Management,Operational Readiness Gates,Prove consignment foundations before downstream automation,"Certify site master, audit scheduler, and reconciliation readiness before PO clock, dashboards, and mobile audit scale-out","Require trusted site setup, scheduled audit cadence, expected-vs-counted reconciliation states, and operator evidence before downstream timers, dashboards, and mobile scaling are approved",Consignment Readiness Gate,"Schedule audits, track due dates, and surface 60-day and 90-day status and Build expected-versus-counted reconciliation with variance handling",5,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,"Consignment sites, scheduler outputs, and reconciliation states are trusted enough to drive timers, dashboards, and mobile workflows without manual fallback",Closes the sequencing gap around downstream consignment automation. | Legacy Sprint Bucket: Seq 04,Post-discovery roadmap validation (2026-03-30)
Mobile Field App,Customer Access,Make customer data usable on the road,"Provide mobile search, account detail, contacts, and recent activity",Support in-call preparation and follow-up,Mobile Customer Workspace,Customer model,8,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,Reps can find and use customer context from the field,Legacy Sprint Bucket: Seq 04,
Mobile Field App,Field Dashboard,Give reps a task-first mobile home,"Show assigned visits, overdue leads, routes, and alerts on the landing screen",Reduce friction for daily field use,Mobile Dashboard,"Lead, customer, and alert feeds",8,Sprint 14,Phase 3 - Dealer Commerce & Activation,P0,Users see the day plan and urgent items at sign-in,Legacy Sprint Bucket: Seq 04,
Mobile Field App,Route Execution,Replace Map My Customer core workflows,"Support route planning, optimization, and navigation handoff",Organize daily visits efficiently,Route Planner,Territory map and geo services,13,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,Users can build and execute optimized visit routes,Legacy Sprint Bucket: Seq 04,
Mobile Field App,Visit Capture,Record work at the point of service,Provide GPS check-in and check-out with visit notes,Validate presence and store visit history,Visit Logging,Mobile customer workspace,8,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,"Visits are logged with time, location, and summary",Legacy Sprint Bucket: Seq 04,
Reports & Analytics,Priority Reports,Deliver the five approved report families,Build site visit report,"Site visits by type (email, phone, in-person) by TM, region, and period; separate from training report; both linked to customer touch frequency metric",Site Visit Report,Activity taxonomy and reporting semantic layer,5,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,Site visit report shows correct counts by type; separated from training events; TM and RD views correct,Session 8: Michelle confirmed site visit report is distinct from training report and required for TM performance review. | Legacy Sprint Bucket: Seq 04,Session 8
Reports & Analytics,Reporting Foundation,Create trusted reporting data,"Build a reporting semantic layer spanning CRM, dealer, training, consignment, and ERP facts","Standardize dimensions, metrics, filters, freshness rules, source lineage, and reconciliation checkpoints across dashboards, exports, and scheduled reports",Reporting Model,Canonical data model and integration blueprint,13,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,"Every released metric resolves through one governed semantic model with traceable source, refresh cadence, and reconciliation owner","Strengthens the semantic layer row so it covers lineage and trust, not just modeling. | Legacy Sprint Bucket: Seq 04",
Reports & Analytics,Reporting Governance,Make dashboard metrics trustworthy,Publish a metric definition register,"Define formula, source system, grain, freshness, coverage label, reconciliation rule, and business owner for each KPI",Metric Governance,Reporting semantic layer and data stewardship,8,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,"All role dashboards, saved reports, and exports use approved metric definitions with source, freshness, and coverage notes",Directly addresses KPI lineage and reconciliation risk raised in reporting validation. | Legacy Sprint Bucket: Seq 04,Session 12 (Mar 24)
Reports & Analytics,Reporting Workspace,Provide role-based dashboard entry points,Build reporting home and role routing,"Deliver role entry points for executive, sales/BD, finance & ops, TM, RD, training, consignment, and dealer views",Reporting Workspace,Access control and reporting semantic layer,8,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,Users land on the correct dashboard by role and can access governed reports from one workspace,Reflects the March 24 session direction for dashboard-first reporting. | Legacy Sprint Bucket: Seq 04,Session 12 (Mar 24)
"QA, UAT, Rollout & Adoption",Quality Strategy,Test the system as a business program,"Define end-to-end test coverage for workflows, integrations, data, mobile, and security",Prevent module-level blind spots,QA Plan,Governance cadence and integration blueprint,8,Sprint 15,Phase 3 - Dealer Commerce & Activation,P0,Test scope covers every critical business flow,Legacy Sprint Bucket: Seq 04,
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 04 - Release Buffer,"Execute Wave 2 migration rehearsal, UAT, bug fixes, deployment, and stabilization","Rehearse dealer account, transaction history, consignment, training, digital-asset, and KPI baseline loads before the external pilot broadens.",Testing & Release,Seq 04 features complete,55,Sprint 16,Phase 4 - Field Operations & Asset Delivery,P0,"Wave 2 migration passes rehearsal reconciliation, critical bugs are fixed, UAT passes, and the pilot environment stays stable for 5 days.",Wave 2 rehearsal covers MIG-010 to MIG-017 and MIG-020 to MIG-022 | Legacy Sprint Bucket: Seq 04-Buffer,Post-discovery migration alignment (2026-03-31)
